sector,city,founded_year,startup_age_years,funding_stage,total_funding_sar,num_funding_rounds,num_investors,num_founders,speed_to_first_round_months,last_round_type,sama_sandbox,rega_sandbox,ntdp_participation,survival_score
Healthtech,Riyadh,2019,5,Seed,2353,3,6,2,17,Seed,0,0,0,37.1
E-commerce,Mecca,2019,5,Seed,2607,1,3,1,25,Seed,0,0,1,69.0
E-commerce,Jeddah,2019,5,Series B,46139,5,15,1,12,Series B,0,0,0,42.8
Fintech,Khobar,2016,8,Pre-Seed,209,1,2,1,3,Pre-Seed,0,0,0,47.1
Edtech,Riyadh,2017,7,Seed,1930,1,2,4,26,Seed,0,0,0,29.0
E-commerce,Jeddah,2021,3,Series C,53442,4,20,3,22,Series C,0,0,1,38.0
Logistics Tech,Jeddah,2018,6,Series A,3920,2,6,3,25,Series A,0,0,0,46.6
E-commerce,Jeddah,2022,2,Series A,10383,3,4,3,11,Series A,0,0,1,41.6
Fintech,Khobar,2011,13,Series A,8427,2,4,2,18,Series A,1,0,0,57.1
Healthtech,Riyadh,2013,11,Pre-Seed,164,1,3,1,20,Pre-Seed,0,0,0,43.5
Fintech,Riyadh,2010,14,Pre-Seed,498,2,1,1,24,Pre-Seed,1,0,0,51.3
Agritech,Riyadh,2012,12,Seed,912,2,6,4,22,Seed,0,0,1,48.9
Healthtech,Riyadh,2017,7,Seed,798,2,6,1,12,Seed,0,0,0,30.4
Fintech,Medina,2016,8,Seed,1672,2,6,3,18,Seed,1,0,1,37.1
HR Tech,Riyadh,2017,7,Series B,45717,4,14,2,5,Series B,0,0,1,63.1
E-commerce,Riyadh,2020,4,Pre-Seed,327,1,1,2,19,Pre-Seed,0,0,1,56.6
Fintech,Riyadh,2015,9,Series A,5859,4,9,4,35,Series A,1,0,1,52.1
Healthtech,Jeddah,2014,10,Pre-Seed,307,2,1,2,1,Pre-Seed,0,0,1,36.9
Real Estate Tech,Riyadh,2021,3,Pre-Seed,296,2,2,3,15,Pre-Seed,0,0,0,59.3
Logistics Tech,Riyadh,2021,3,Seed,2791,3,3,3,15,Seed,0,0,0,34.9
Logistics Tech,Riyadh,2019,5,Series B,17751,4,10,4,19,Series B,0,0,0,50.8
HR Tech,Riyadh,2018,6,Pre-Seed,270,2,2,4,14,Pre-Seed,0,0,0,56.9
E-commerce,Medina,2014,10,Series A,3754,2,7,1,5,Series A,0,0,1,59.0
E-commerce,Riyadh,2018,6,Series A,4487,4,8,2,21,Series A,0,0,1,69.6
Logistics Tech,Jeddah,2022,2,Pre-Seed,357,1,3,3,24,Pre-Seed,0,0,0,40.3
Fintech,Medina,2013,11,Seed,651,2,5,2,31,Seed,0,0,0,26.7
Healthtech,Dammam,2021,3,Series C,59633,5,29,2,22,Series C,0,0,0,59.7
Healthtech,Abha,2014,10,Seed,2785,2,6,2,27,Seed,0,0,1,35.6
Fintech,Mecca,2010,14,Pre-Seed,252,1,1,2,9,Pre-Seed,1,0,1,48.6
E-commerce,Riyadh,2015,9,Series A,10459,4,6,2,11,Series A,0,0,0,68.9
Agritech,Jeddah,2012,12,Series A,5207,3,9,3,1,Series A,0,0,0,49.3
Agritech,Riyadh,2020,4,Pre-Seed,494,1,3,3,26,Pre-Seed,0,0,0,51.2
Fintech,Riyadh,2019,5,Pre-Seed,131,2,3,3,16,Pre-Seed,1,0,0,54.0
Fintech,Dammam,2011,13,Pre-Seed,421,1,1,4,21,Pre-Seed,1,0,1,34.5
Real Estate Tech,Jeddah,2015,9,Pre-Seed,159,1,1,2,26,Pre-Seed,0,0,1,37.9
Agritech,Jeddah,2010,14,Seed,2272,2,6,1,27,Seed,0,0,0,53.1
Fintech,Jeddah,2021,3,Seed,2753,3,4,2,12,Seed,0,0,0,46.2
Edtech,Riyadh,2018,6,Seed,2663,2,6,4,11,Seed,0,0,0,34.1
Fintech,NEOM,2014,10,Series C,130638,4,25,1,13,Series C,0,0,1,80.9
Healthtech,Riyadh,2016,8,Series A,4092,4,8,2,7,Series A,0,0,0,51.2
Real Estate Tech,Riyadh,2020,4,Series B,42046,3,15,2,19,Series B,0,0,0,56.9
Logistics Tech,NEOM,2019,5,Seed,1911,2,4,4,28,Seed,0,0,0,55.6
Real Estate Tech,Riyadh,2018,6,Pre-Seed,409,2,2,4,1,Pre-Seed,0,1,0,61.0
Healthtech,Dammam,2018,6,Seed,1344,2,2,3,14,Seed,0,0,1,42.6
Real Estate Tech,Jeddah,2022,2,Series B,37738,5,15,1,4,Series B,0,1,0,54.6
Edtech,Riyadh,2016,8,Pre-Seed,226,2,2,1,9,Pre-Seed,0,0,1,43.1
Agritech,Dammam,2013,11,Pre-Seed,257,1,1,1,13,Pre-Seed,0,0,0,34.3
Fintech,Jeddah,2013,11,Seed,1378,3,2,2,30,Seed,1,0,1,41.9
Agritech,Riyadh,2016,8,Seed,1100,2,4,2,34,Seed,0,0,0,50.3
Healthtech,Riyadh,2017,7,Seed,2505,3,2,2,25,Seed,0,0,0,31.9
Fintech,NEOM,2016,8,Pre-Seed,468,1,2,1,19,Pre-Seed,1,0,1,53.4
E-commerce,Riyadh,2020,4,Seed,2090,3,3,3,19,Seed,0,0,0,57.5
Fintech,NEOM,2019,5,Series A,6632,3,10,3,25,Series A,0,0,0,53.2
Edtech,Riyadh,2013,11,Seed,2062,1,5,2,25,Seed,0,0,0,26.1
Logistics Tech,Jeddah,2013,11,Series A,8448,2,4,4,24,Series A,0,0,0,41.2
Fintech,Khobar,2017,7,Seed,1612,3,6,1,28,Seed,1,0,0,55.4
E-commerce,Riyadh,2021,3,Seed,2655,2,6,1,11,Seed,0,0,1,62.4
Logistics Tech,Jeddah,2018,6,Pre-Seed,336,2,1,2,16,Pre-Seed,0,0,0,39.2
Traveltech,Dammam,2016,8,Seed,1836,3,3,4,25,Seed,0,0,0,54.7
E-commerce,Dammam,2021,3,Pre-Seed,303,2,2,2,13,Pre-Seed,0,0,0,49.7
HR Tech,Jeddah,2022,2,Seed,1081,2,5,4,40,Seed,0,0,1,53.3
Healthtech,Jeddah,2012,12,Series A,13832,4,5,2,24,Series A,0,0,0,44.2
E-commerce,Dammam,2021,3,Pre-Seed,451,2,1,3,13,Pre-Seed,0,0,1,50.8
Agritech,Dammam,2019,5,Seed,2193,2,6,2,35,Seed,0,0,0,49.9
E-commerce,Dammam,2010,14,Pre-Seed,225,1,2,3,25,Pre-Seed,0,0,1,48.4
E-commerce,Riyadh,2014,10,Pre-Seed,460,2,1,4,10,Pre-Seed,0,0,0,56.9
E-commerce,Abha,2015,9,Seed,1037,3,4,4,20,Seed,0,0,0,70.6
Agritech,Riyadh,2020,4,Growth,261560,6,50,3,9,Growth,0,0,0,73.5
Agritech,Riyadh,2018,6,Seed,2575,2,6,1,22,Seed,0,0,1,54.7
E-commerce,Riyadh,2014,10,Seed,1034,3,2,2,7,Seed,0,0,1,57.7
Real Estate Tech,Riyadh,2010,14,Series A,8063,2,5,3,19,Series A,0,1,0,59.3
E-commerce,Riyadh,2020,4,Series A,11932,3,5,2,17,Series A,0,0,0,61.8
Healthtech,Riyadh,2020,4,Series C,141951,6,26,3,22,Series C,0,0,0,44.7
Real Estate Tech,Riyadh,2013,11,Series B,29202,3,11,1,24,Series B,0,1,1,59.6
Logistics Tech,Jeddah,2011,13,Series B,33697,4,14,2,23,Series B,0,0,1,54.2
E-commerce,Riyadh,2013,11,Series C,130950,5,26,2,19,Series C,0,0,0,53.8
Real Estate Tech,Riyadh,2016,8,Pre-Seed,469,2,1,2,7,Pre-Seed,0,1,1,65.1
Fintech,Riyadh,2018,6,Series A,11566,4,8,2,20,Series A,0,0,0,53.5
Real Estate Tech,Riyadh,2021,3,Series B,34043,5,9,2,14,Series B,0,1,1,63.2
HR Tech,Riyadh,2012,12,Series A,14687,4,8,2,33,Series A,0,0,1,53.3
Real Estate Tech,Jeddah,2012,12,Growth,477251,5,47,3,25,Growth,0,1,1,49.0
Fintech,Mecca,2020,4,Pre-Seed,319,2,2,2,1,Pre-Seed,0,0,0,51.9
E-commerce,NEOM,2013,11,Seed,2001,2,5,4,20,Seed,0,0,1,65.3
Real Estate Tech,NEOM,2016,8,Growth,396280,5,25,1,42,Growth,0,1,1,47.5
Fintech,Riyadh,2015,9,Seed,863,1,2,3,8,Seed,1,0,0,40.6
Real Estate Tech,Riyadh,2014,10,Series A,4477,4,5,2,23,Series A,0,1,1,61.2
Healthtech,Riyadh,2013,11,Pre-Seed,211,2,3,2,13,Pre-Seed,0,0,0,46.9
Healthtech,Dammam,2021,3,Series A,5013,2,9,2,34,Series A,0,0,0,46.8
Real Estate Tech,Riyadh,2017,7,Series C,115507,4,26,2,11,Series C,0,0,1,73.5
E-commerce,Jeddah,2021,3,Seed,2453,1,2,3,16,Seed,0,0,0,49.9
HR Tech,Riyadh,2013,11,Pre-Seed,323,2,1,3,24,Pre-Seed,0,0,0,55.3
Real Estate Tech,Riyadh,2012,12,Pre-Seed,312,2,1,1,4,Pre-Seed,0,1,0,58.4
Real Estate Tech,Abha,2016,8,Series C,95930,6,27,3,16,Series C,0,1,0,80.2
Real Estate Tech,Dammam,2011,13,Series A,8264,4,4,2,23,Series A,0,1,1,63.7
E-commerce,Dammam,2013,11,Pre-Seed,110,2,2,3,1,Pre-Seed,0,0,0,47.6
Logistics Tech,Jeddah,2017,7,Pre-Seed,118,1,1,2,26,Pre-Seed,0,0,1,38.5
Real Estate Tech,NEOM,2013,11,Series B,44120,4,16,1,6,Series B,0,1,1,62.5
Edtech,Jeddah,2019,5,Series B,28517,5,14,3,6,Series B,0,0,0,61.8
Fintech,Mecca,2021,3,Pre-Seed,242,1,2,4,30,Pre-Seed,1,0,0,46.5
E-commerce,Riyadh,2016,8,Seed,2078,3,5,1,12,Seed,0,0,0,60.8
Logistics Tech,Jeddah,2011,13,Series B,45052,3,15,2,1,Series B,0,0,0,58.2
Real Estate Tech,Jeddah,2020,4,Seed,2132,3,2,2,20,Seed,0,1,1,46.2
Healthtech,Riyadh,2014,10,Series C,142499,5,27,2,28,Series C,0,0,0,42.9
Real Estate Tech,NEOM,2021,3,Seed,1347,3,4,3,9,Seed,0,1,1,58.0
Edtech,Medina,2022,2,Series A,10846,2,8,1,21,Series A,0,0,0,58.0
Fintech,Riyadh,2013,11,Seed,1396,1,4,4,18,Seed,0,0,1,35.1
Agritech,Riyadh,2018,6,Series C,141469,5,26,3,7,Series C,0,0,1,86.9
Fintech,Riyadh,2016,8,Seed,2120,2,2,4,9,Seed,1,0,0,39.0
Agritech,NEOM,2018,6,Pre-Seed,404,2,2,2,24,Pre-Seed,0,0,0,38.6
Real Estate Tech,Jeddah,2020,4,Seed,2371,1,6,1,26,Seed,0,0,0,44.5
Edtech,Riyadh,2022,2,Series B,24655,5,8,2,18,Series B,0,0,1,46.1
Real Estate Tech,Jeddah,2022,2,Seed,2698,2,6,2,1,Seed,0,0,1,47.8
Traveltech,Riyadh,2019,5,Seed,2463,2,6,4,37,Seed,0,0,0,53.9
Fintech,Dammam,2016,8,Seed,2598,3,6,3,35,Seed,1,0,1,39.7
Fintech,Riyadh,2011,13,Pre-Seed,439,1,3,2,25,Pre-Seed,0,0,1,51.0
E-commerce,Riyadh,2021,3,Pre-Seed,223,1,1,3,7,Pre-Seed,0,0,1,59.3
Fintech,Dammam,2011,13,Seed,1359,1,5,4,5,Seed,0,0,0,30.5
Fintech,Riyadh,2011,13,Series A,14410,2,5,3,17,Series A,1,0,0,48.8
HR Tech,Riyadh,2014,10,Series A,11970,4,6,3,11,Series A,0,0,1,58.1
HR Tech,Riyadh,2010,14,Series B,42185,4,16,2,29,Series B,0,0,0,56.0
Real Estate Tech,Riyadh,2022,2,Series C,128761,5,22,2,28,Series C,0,0,0,68.0
Traveltech,Riyadh,2016,8,Seed,2947,1,3,3,3,Seed,0,0,0,50.3
Healthtech,Abha,2011,13,Series A,3376,2,5,3,29,Series A,0,0,0,41.6
Real Estate Tech,Dammam,2013,11,Pre-Seed,122,2,1,2,15,Pre-Seed,0,0,1,64.5
Edtech,NEOM,2018,6,Pre-Seed,175,2,3,2,11,Pre-Seed,0,0,0,39.1
Edtech,Khobar,2017,7,Pre-Seed,212,1,2,3,17,Pre-Seed,0,0,0,55.6
Cybersecurity,Riyadh,2019,5,Seed,783,1,6,3,5,Seed,0,0,0,45.5
Real Estate Tech,Riyadh,2011,13,Pre-Seed,105,2,1,2,30,Pre-Seed,0,0,1,56.9
Edtech,Riyadh,2013,11,Seed,780,3,6,2,16,Seed,0,0,1,30.1
Fintech,Dammam,2013,11,Series A,13838,3,7,2,28,Series A,0,0,1,30.8
Fintech,Jeddah,2011,13,Seed,893,1,2,2,28,Seed,0,0,0,37.5
Fintech,Riyadh,2011,13,Series A,6518,4,6,2,12,Series A,1,0,0,55.6
Cybersecurity,Riyadh,2014,10,Seed,1594,3,2,4,19,Seed,0,0,0,37.3
Logistics Tech,Jeddah,2020,4,Pre-Seed,433,2,2,3,10,Pre-Seed,0,0,0,39.1
Logistics Tech,Jeddah,2013,11,Pre-Seed,397,2,2,3,31,Pre-Seed,0,0,1,37.4
E-commerce,NEOM,2017,7,Pre-Seed,415,1,3,1,13,Pre-Seed,0,0,1,55.6
Real Estate Tech,Riyadh,2013,11,Pre-Seed,438,1,2,3,24,Pre-Seed,0,0,1,58.0
Fintech,Khobar,2017,7,Series A,13416,3,8,2,27,Series A,0,0,0,56.5
Real Estate Tech,Riyadh,2014,10,Series B,47855,5,13,2,34,Series B,0,1,0,53.2
Real Estate Tech,Jeddah,2010,14,Seed,889,3,6,1,28,Seed,0,1,0,40.6
Logistics Tech,Khobar,2018,6,Seed,2144,2,6,2,15,Seed,0,0,0,56.3
Healthtech,Khobar,2017,7,Series B,23911,4,16,2,32,Series B,0,0,1,50.4
Fintech,Riyadh,2010,14,Pre-Seed,321,2,2,1,28,Pre-Seed,1,0,1,53.0
Fintech,Riyadh,2021,3,Pre-Seed,324,2,3,3,3,Pre-Seed,1,0,0,54.0
Fintech,Riyadh,2012,12,Seed,2730,1,3,2,28,Seed,0,0,0,37.0
E-commerce,Riyadh,2012,12,Series A,5470,2,10,3,22,Series A,0,0,0,62.9
Traveltech,Jeddah,2014,10,Series A,9597,3,6,2,16,Series A,0,0,0,53.6
Healthtech,Mecca,2016,8,Series A,5249,2,7,2,16,Series A,0,0,0,58.2
Logistics Tech,Riyadh,2010,14,Pre-Seed,170,2,3,2,17,Pre-Seed,0,0,0,49.0
E-commerce,Riyadh,2010,14,Seed,524,2,3,4,14,Seed,0,0,0,55.3
Real Estate Tech,Riyadh,2019,5,Pre-Seed,460,2,3,4,22,Pre-Seed,0,1,1,64.8
Fintech,NEOM,2022,2,Series A,5384,2,6,2,28,Series A,1,0,0,53.5
Agritech,Mecca,2015,9,Series B,39549,3,10,3,7,Series B,0,0,1,78.1
Logistics Tech,Riyadh,2014,10,Seed,1993,3,6,4,1,Seed,0,0,0,37.4
Fintech,Riyadh,2021,3,Pre-Seed,248,1,3,4,18,Pre-Seed,0,0,0,50.1
E-commerce,Dammam,2021,3,Seed,1507,3,6,1,28,Seed,0,0,0,56.1
E-commerce,Jeddah,2022,2,Pre-Seed,498,1,3,2,25,Pre-Seed,0,0,1,27.3
Healthtech,Riyadh,2012,12,Seed,2100,3,6,3,13,Seed,0,0,0,35.6
HR Tech,NEOM,2022,2,Seed,641,1,4,2,15,Seed,0,0,1,43.6
Healthtech,Medina,2012,12,Growth,353506,8,41,3,1,Growth,0,0,1,79.9
Healthtech,Jeddah,2013,11,Seed,1595,1,2,2,31,Seed,0,0,1,43.3
Fintech,Jeddah,2022,2,Pre-Seed,491,1,2,2,13,Pre-Seed,1,0,0,28.1
Fintech,Riyadh,2020,4,Pre-Seed,347,1,3,2,19,Pre-Seed,0,0,0,51.4
Fintech,Jeddah,2019,5,Pre-Seed,204,2,3,2,15,Pre-Seed,0,0,1,30.0
Fintech,Riyadh,2011,13,Pre-Seed,151,2,3,1,9,Pre-Seed,0,0,0,50.1
Edtech,Riyadh,2022,2,Series A,5306,3,6,4,12,Series A,0,0,0,61.3
Edtech,Riyadh,2018,6,Pre-Seed,218,1,1,2,13,Pre-Seed,0,0,1,42.2
Fintech,Riyadh,2022,2,Growth,236902,5,24,2,11,Growth,0,0,1,63.3
Agritech,Riyadh,2021,3,Seed,2088,2,2,1,25,Seed,0,0,1,49.7
Fintech,Jeddah,2013,11,Seed,2915,2,4,2,25,Seed,0,0,0,38.9
Real Estate Tech,Jeddah,2019,5,Seed,2555,2,4,2,15,Seed,0,0,0,42.0
Real Estate Tech,Jeddah,2012,12,Series A,14962,3,5,3,19,Series A,0,0,0,47.4
Real Estate Tech,Riyadh,2019,5,Seed,850,2,6,4,32,Seed,0,1,0,37.2
Real Estate Tech,Riyadh,2020,4,Seed,2603,3,4,2,2,Seed,0,1,0,40.5
E-commerce,Dammam,2016,8,Seed,1296,2,3,2,33,Seed,0,0,0,54.2
E-commerce,Riyadh,2022,2,Series C,114782,6,15,2,34,Series C,0,0,0,52.8
Cybersecurity,Medina,2018,6,Seed,2820,3,3,2,25,Seed,0,0,0,46.5
Fintech,Riyadh,2021,3,Seed,1954,1,6,2,22,Seed,0,0,0,44.7
Fintech,Jeddah,2022,2,Seed,1379,2,6,2,22,Seed,1,0,0,44.9
Fintech,Riyadh,2011,13,Pre-Seed,476,2,1,2,3,Pre-Seed,1,0,0,50.6
Healthtech,Jeddah,2015,9,Pre-Seed,486,1,2,1,23,Pre-Seed,0,0,1,36.9
Fintech,NEOM,2014,10,Pre-Seed,197,2,3,2,29,Pre-Seed,1,0,0,52.2
Agritech,Mecca,2010,14,Series A,5435,3,5,1,5,Series A,0,0,0,58.1
E-commerce,Abha,2020,4,Seed,1681,2,4,2,7,Seed,0,0,0,70.6
E-commerce,Riyadh,2016,8,Series B,35904,5,10,2,32,Series B,0,0,0,56.7
Healthtech,Jeddah,2010,14,Series A,3787,4,6,2,15,Series A,0,0,0,46.5
Fintech,Riyadh,2019,5,Pre-Seed,247,1,1,2,27,Pre-Seed,0,0,1,53.1
Fintech,Jeddah,2018,6,Series A,6220,4,6,2,8,Series A,0,0,0,40.0
Real Estate Tech,Riyadh,2013,11,Series A,13031,3,4,2,24,Series A,0,0,0,54.5
Healthtech,NEOM,2017,7,Series A,10259,3,9,2,24,Series A,0,0,0,34.8
Real Estate Tech,Khobar,2010,14,Series A,9700,2,6,4,1,Series A,0,0,0,55.3
Fintech,Riyadh,2014,10,Series A,4774,3,5,3,25,Series A,1,0,0,48.4
HR Tech,Riyadh,2012,12,Pre-Seed,213,1,2,3,12,Pre-Seed,0,0,1,55.8
Fintech,Riyadh,2013,11,Series A,5043,3,10,2,21,Series A,1,0,1,54.6
Logistics Tech,Jeddah,2021,3,Seed,2125,1,2,4,15,Seed,0,0,0,49.8
Logistics Tech,Riyadh,2013,11,Series A,10170,3,6,3,27,Series A,0,0,0,49.1
Real Estate Tech,Khobar,2017,7,Pre-Seed,270,2,1,2,29,Pre-Seed,0,1,0,50.5
Fintech,Jeddah,2019,5,Series B,30960,4,8,2,32,Series B,0,0,1,44.5
Fintech,Jeddah,2019,5,Seed,1749,2,5,2,30,Seed,0,0,1,42.7
Edtech,Jeddah,2022,2,Series A,7243,3,6,2,28,Series A,0,0,0,61.7
Healthtech,Riyadh,2012,12,Series B,49394,3,11,3,16,Series B,0,0,0,59.2
Logistics Tech,Khobar,2010,14,Series C,149776,4,17,2,16,Series C,0,0,1,50.7
Traveltech,Jeddah,2014,10,Series A,8550,4,10,3,13,Series A,0,0,0,58.5
Edtech,Abha,2011,13,Pre-Seed,268,1,1,2,10,Pre-Seed,0,0,0,48.7
Fintech,Jeddah,2022,2,Series B,32731,4,12,4,2,Series B,1,0,0,48.9
Real Estate Tech,Jeddah,2020,4,Series A,12307,2,7,1,24,Series A,0,1,0,45.2
Agritech,Riyadh,2022,2,Series A,3014,3,8,4,17,Series A,0,0,0,59.7
Real Estate Tech,Jeddah,2015,9,Series C,75748,5,26,2,19,Series C,0,0,0,61.8
Fintech,Dammam,2013,11,Pre-Seed,390,1,1,2,24,Pre-Seed,1,0,0,33.4
Edtech,Dammam,2018,6,Pre-Seed,483,2,1,2,18,Pre-Seed,0,0,0,36.3
E-commerce,Dammam,2016,8,Seed,1912,1,2,2,14,Seed,0,0,0,54.8
Traveltech,Riyadh,2011,13,Series A,7153,2,10,3,16,Series A,0,0,0,56.5
Edtech,Medina,2016,8,Seed,2893,2,2,1,12,Seed,0,0,1,45.6
Fintech,Abha,2019,5,Series A,4903,2,4,2,28,Series A,0,0,1,32.3
HR Tech,Riyadh,2017,7,Seed,905,1,4,1,4,Seed,0,0,1,33.7
Real Estate Tech,Khobar,2012,12,Series A,10917,2,5,2,22,Series A,0,1,1,58.7
Real Estate Tech,Riyadh,2012,12,Series B,29388,4,17,2,19,Series B,0,0,1,56.2
E-commerce,Jeddah,2020,4,Pre-Seed,302,2,1,2,4,Pre-Seed,0,0,0,28.3
Fintech,Riyadh,2011,13,Series A,13190,2,7,4,16,Series A,1,0,0,47.8
E-commerce,Mecca,2021,3,Series B,31593,4,18,3,24,Series B,0,0,1,61.3
Fintech,Riyadh,2010,14,Seed,2410,2,3,3,16,Seed,1,0,0,37.0
E-commerce,Riyadh,2012,12,Seed,2691,1,3,2,10,Seed,0,0,1,55.5
Real Estate Tech,Riyadh,2019,5,Pre-Seed,214,2,1,2,18,Pre-Seed,0,0,0,59.5
Logistics Tech,Riyadh,2021,3,Series B,16823,5,16,2,3,Series B,0,0,0,56.9
Logistics Tech,Jeddah,2020,4,Seed,1046,2,6,2,12,Seed,0,0,0,56.3
Fintech,Riyadh,2016,8,Seed,1304,1,6,1,6,Seed,1,0,0,41.2
Real Estate Tech,Jeddah,2020,4,Seed,1628,3,5,2,20,Seed,0,1,0,43.9
Real Estate Tech,Medina,2018,6,Seed,1568,2,6,3,28,Seed,0,0,0,40.9
Fintech,Dammam,2018,6,Series A,9477,4,7,3,22,Series A,0,0,0,34.0
Logistics Tech,NEOM,2022,2,Series B,31631,3,12,4,35,Series B,0,0,0,58.0
Edtech,Riyadh,2015,9,Seed,965,3,2,2,28,Seed,0,0,0,29.3
Fintech,Riyadh,2015,9,Series A,9445,4,9,2,9,Series A,1,0,0,55.2
Real Estate Tech,Jeddah,2020,4,Series A,3620,3,8,3,16,Series A,0,1,1,50.4
Fintech,Riyadh,2014,10,Seed,2459,2,3,2,22,Seed,1,0,0,35.5
Healthtech,Mecca,2011,13,Pre-Seed,125,1,1,2,10,Pre-Seed,0,0,0,62.1
Fintech,Riyadh,2016,8,Series C,76992,5,22,3,22,Series C,0,0,0,61.4
Cybersecurity,Khobar,2010,14,Series A,12422,4,10,2,22,Series A,0,0,0,63.5
Logistics Tech,Riyadh,2015,9,Series A,11549,4,9,4,20,Series A,0,0,0,47.3
E-commerce,Dammam,2013,11,Pre-Seed,430,1,3,2,17,Pre-Seed,0,0,0,49.3
Healthtech,Riyadh,2012,12,Series B,48653,4,10,3,8,Series B,0,0,0,64.6
Traveltech,Riyadh,2020,4,Series A,9586,3,8,2,22,Series A,0,0,1,60.4
Healthtech,Jeddah,2022,2,Series B,44173,3,18,2,18,Series B,0,0,0,62.4
Fintech,Riyadh,2010,14,Growth,422095,8,27,2,10,Growth,1,0,1,65.7
Real Estate Tech,Jeddah,2015,9,Series C,63032,5,21,2,18,Series C,0,1,1,68.1
Agritech,Jeddah,2022,2,Series B,24650,5,15,2,14,Series B,0,0,0,76.6
Healthtech,Riyadh,2016,8,Pre-Seed,299,1,2,3,22,Pre-Seed,0,0,0,46.8
Edtech,Khobar,2020,4,Series B,31935,4,15,3,23,Series B,0,0,0,59.1
Agritech,Riyadh,2010,14,Pre-Seed,299,2,1,2,12,Pre-Seed,0,0,1,49.8
Traveltech,Jeddah,2020,4,Series B,40967,5,14,2,17,Series B,0,0,0,78.8
Traveltech,Jeddah,2010,14,Seed,839,1,6,2,13,Seed,0,0,1,66.6
Fintech,Jeddah,2016,8,Series A,4444,4,9,1,32,Series A,0,0,1,29.9
Healthtech,Riyadh,2020,4,Pre-Seed,266,1,1,3,14,Pre-Seed,0,0,0,46.8
Edtech,Riyadh,2021,3,Series B,30072,4,15,2,20,Series B,0,0,0,43.0
Logistics Tech,Jeddah,2015,9,Pre-Seed,376,1,1,4,36,Pre-Seed,0,0,0,35.5
Healthtech,Riyadh,2016,8,Seed,2315,2,6,2,1,Seed,0,0,0,32.3
Fintech,Riyadh,2022,2,Series B,31438,5,12,2,24,Series B,1,0,1,60.4
Logistics Tech,Jeddah,2017,7,Series A,3164,3,4,3,23,Series A,0,0,1,44.9
Edtech,Jeddah,2017,7,Pre-Seed,242,2,1,2,11,Pre-Seed,0,0,0,38.2
Fintech,Riyadh,2018,6,Seed,1910,1,5,2,4,Seed,0,0,1,41.0
E-commerce,Riyadh,2022,2,Pre-Seed,175,2,1,2,13,Pre-Seed,0,0,1,61.7
Fintech,Riyadh,2018,6,Series A,5790,4,4,2,15,Series A,0,0,0,49.1
Real Estate Tech,Riyadh,2016,8,Growth,428342,8,46,2,21,Growth,0,0,0,46.1
Fintech,Riyadh,2018,6,Series A,7518,2,10,2,4,Series A,0,0,1,53.1
E-commerce,Riyadh,2015,9,Pre-Seed,164,1,3,2,8,Pre-Seed,0,0,1,60.8
Healthtech,Abha,2018,6,Seed,1754,3,6,2,13,Seed,0,0,0,48.0
Healthtech,Jeddah,2020,4,Growth,486858,8,34,2,38,Growth,0,0,1,79.1
Edtech,Riyadh,2011,13,Pre-Seed,216,1,2,4,14,Pre-Seed,0,0,1,37.7
Agritech,Riyadh,2020,4,Series A,8360,2,8,2,9,Series A,0,0,0,59.2
Real Estate Tech,Jeddah,2011,13,Seed,2057,1,3,2,25,Seed,0,1,0,38.6
Fintech,Riyadh,2015,9,Series A,4081,3,10,2,1,Series A,1,0,0,51.8
Agritech,Dammam,2012,12,Series B,40235,3,16,2,9,Series B,0,0,0,64.4
Fintech,Khobar,2011,13,Seed,1553,3,5,2,1,Seed,1,0,1,63.4
HR Tech,Jeddah,2017,7,Series A,5266,2,4,3,17,Series A,0,0,0,53.1
Agritech,Riyadh,2016,8,Seed,1046,3,2,2,12,Seed,0,0,0,53.6
E-commerce,Dammam,2017,7,Seed,2535,3,6,2,31,Seed,0,0,0,54.9
Cybersecurity,Mecca,2015,9,Seed,1349,2,3,2,20,Seed,0,0,0,29.2
Fintech,Jeddah,2018,6,Seed,966,2,6,2,17,Seed,0,0,0,45.9
Real Estate Tech,Jeddah,2018,6,Pre-Seed,153,2,1,1,7,Pre-Seed,0,1,1,43.8
Healthtech,Riyadh,2011,13,Series B,22712,5,12,2,15,Series B,0,0,0,60.2
Real Estate Tech,Riyadh,2019,5,Pre-Seed,487,1,3,4,27,Pre-Seed,0,1,0,58.1
Traveltech,Jeddah,2014,10,Pre-Seed,129,2,2,1,8,Pre-Seed,0,0,0,49.7
Fintech,Khobar,2018,6,Seed,1875,3,2,1,26,Seed,1,0,1,57.8
Healthtech,Jeddah,2012,12,Pre-Seed,424,2,3,3,6,Pre-Seed,0,0,0,37.4
Healthtech,Dammam,2014,10,Seed,2516,1,5,4,15,Seed,0,0,0,37.9
Edtech,Riyadh,2017,7,Seed,1041,1,6,3,25,Seed,0,0,0,30.3
Real Estate Tech,Riyadh,2011,13,Series A,8516,3,10,4,24,Series A,0,0,1,56.3
Real Estate Tech,Jeddah,2015,9,Series C,109151,5,19,3,9,Series C,0,0,0,67.1
Agritech,Riyadh,2020,4,Series A,13319,4,7,2,12,Series A,0,0,0,64.1
Fintech,Jeddah,2013,11,Pre-Seed,408,1,1,2,17,Pre-Seed,1,0,0,25.3
Logistics Tech,Riyadh,2021,3,Series C,58611,6,15,2,35,Series C,0,0,1,49.0
