sector,city,founded_year,startup_age_years,funding_stage,total_funding_sar,num_funding_rounds,num_investors,num_founders,speed_to_first_round_months,last_round_type,sama_sandbox,rega_sandbox,ntdp_participation,market_growth_index,traction_score,monthly_revenue_sar,risk_category,survived_3_years,investment_score
Real Estate Tech,NEOM,2013,11,Seed,878,3,2,1,8,Seed,0,0,0,0.82,31.0,36848,High,0,47.2
Cybersecurity,Riyadh,2020,4,Pre-Seed,159,2,1,2,1,Pre-Seed,0,0,0,0.88,13.2,6869,Medium,1,57.1
Fintech,Jeddah,2018,6,Pre-Seed,341,2,3,1,8,Pre-Seed,1,0,0,0.9,18.8,708,High,1,45.0
Real Estate Tech,Khobar,2015,9,Series A,12757,2,5,3,19,Series A,0,0,0,0.82,50.7,280570,Medium,0,48.6
Fintech,Riyadh,2017,7,Seed,1087,1,5,1,11,Seed,0,0,0,0.9,34.1,21644,High,0,51.0
Traveltech,Riyadh,2011,13,Series B,30942,5,12,2,10,Series B,0,0,0,0.48,71.9,508485,Low,1,75.2
Edtech,Jeddah,2019,5,Growth,409667,6,30,2,12,Growth,0,0,1,0.58,98.4,32797633,High,0,45.2
Fintech,Khobar,2014,10,Pre-Seed,456,1,2,4,17,Pre-Seed,1,0,1,0.9,17.6,3235,High,0,31.0
E-commerce,Dammam,2021,3,Seed,1185,2,6,3,25,Seed,0,0,1,0.72,28.4,30250,Medium,0,59.3
Healthtech,Riyadh,2021,3,Series B,37427,4,14,4,17,Series B,0,0,0,0.78,67.4,2749996,Medium,1,72.0
Fintech,Jeddah,2022,2,Series B,18269,3,10,4,18,Series B,0,0,0,0.9,67.2,2627734,Medium,0,56.9
Agritech,Jeddah,2010,14,Series A,14683,3,7,2,15,Series A,0,0,1,0.52,61.4,291341,High,0,52.9
Logistics Tech,Khobar,2013,11,Seed,1159,1,5,2,13,Seed,0,0,0,0.63,32.5,63670,Medium,1,49.0
E-commerce,Riyadh,2019,5,Seed,1797,3,3,2,26,Seed,0,0,0,0.72,28.2,61207,Medium,0,62.3
HR Tech,Jeddah,2010,14,Series A,4526,2,5,2,25,Series A,0,0,1,0.65,54.1,80884,High,0,46.0
E-commerce,NEOM,2020,4,Growth,193043,8,31,3,38,Growth,0,0,0,0.72,95.4,39319081,High,0,47.0
Cybersecurity,Riyadh,2020,4,Seed,2194,2,5,1,24,Seed,0,0,0,0.88,23.0,36271,Medium,1,56.0
Edtech,Riyadh,2018,6,Series C,57421,5,25,1,13,Series C,0,0,0,0.58,83.3,6161732,Medium,1,64.3
Healthtech,Riyadh,2011,13,Seed,2158,2,3,2,8,Seed,0,0,1,0.78,36.1,71610,Medium,0,47.7
Fintech,Riyadh,2016,8,Growth,405024,7,48,2,27,Growth,0,0,1,0.9,98.3,78392668,Medium,0,64.0
Agritech,Riyadh,2012,12,Series A,9635,2,7,3,9,Series A,0,0,1,0.52,59.2,336063,Medium,0,58.1
E-commerce,Mecca,2011,13,Seed,2821,3,6,2,26,Seed,0,0,0,0.72,35.2,62581,Medium,0,55.2
Fintech,Riyadh,2022,2,Series A,8109,2,5,3,10,Series A,1,0,1,0.9,53.3,356511,Medium,0,52.3
Fintech,Riyadh,2013,11,Seed,1652,3,3,2,21,Seed,1,0,1,0.9,37.3,63432,Medium,0,50.9
Healthtech,Jeddah,2016,8,Seed,710,3,2,1,7,Seed,0,0,1,0.78,38.2,21173,Medium,0,52.1
E-commerce,Riyadh,2016,8,Pre-Seed,211,2,3,3,25,Pre-Seed,0,0,0,0.72,18.1,5471,Medium,0,61.6
Edtech,Riyadh,2018,6,Pre-Seed,369,1,2,4,5,Pre-Seed,0,0,1,0.58,21.2,5909,High,1,45.7
Traveltech,Jeddah,2021,3,Seed,1666,3,3,1,20,Seed,0,0,0,0.48,25.2,65293,Medium,0,53.4
Fintech,NEOM,2022,2,Series A,7269,2,5,2,16,Series A,1,0,1,0.9,49.4,180597,Medium,0,53.4
Edtech,Jeddah,2012,12,Series A,8985,4,7,2,19,Series A,0,0,1,0.58,56.6,99318,High,0,41.5
Fintech,Jeddah,2016,8,Pre-Seed,265,2,1,1,14,Pre-Seed,0,0,1,0.9,17.4,9957,High,0,43.4
Agritech,Riyadh,2015,9,Series B,35927,5,8,3,13,Series B,0,0,1,0.52,72.7,1054779,Low,1,70.4
Logistics Tech,Mecca,2019,5,Series A,3011,2,4,2,19,Series A,0,0,0,0.63,33.5,114104,Medium,0,55.7
Healthtech,Riyadh,2016,8,Growth,409832,5,20,3,7,Growth,0,0,0,0.78,93.7,26821844,Medium,1,67.2
Edtech,Dammam,2016,8,Series A,4178,4,10,3,7,Series A,0,0,0,0.58,48.9,294925,High,0,51.4
Real Estate Tech,Riyadh,2019,5,Pre-Seed,422,1,3,2,14,Pre-Seed,0,1,0,0.82,14.6,3163,Medium,1,61.9
E-commerce,Khobar,2014,10,Seed,1477,1,5,2,14,Seed,0,0,1,0.72,34.9,41831,Medium,0,56.0
Logistics Tech,Jeddah,2018,6,Series A,5493,3,7,2,7,Series A,0,0,0,0.63,45.7,159210,Medium,1,62.0
E-commerce,Dammam,2016,8,Pre-Seed,441,1,3,1,27,Pre-Seed,0,0,0,0.72,16.8,1840,Medium,0,56.2
Real Estate Tech,Riyadh,2016,8,Pre-Seed,320,2,2,2,14,Pre-Seed,0,0,0,0.82,14.6,5646,Medium,1,62.1
E-commerce,Riyadh,2021,3,Pre-Seed,209,2,3,2,15,Pre-Seed,0,0,0,0.72,16.6,4191,Medium,1,61.1
Logistics Tech,Jeddah,2012,12,Seed,2958,2,2,3,4,Seed,0,0,1,0.63,37.3,50281,Medium,0,56.1
Real Estate Tech,Dammam,2010,14,Seed,2301,3,2,2,38,Seed,0,0,1,0.82,37.9,10749,Medium,1,52.8
Fintech,Riyadh,2014,10,Seed,540,2,3,3,42,Seed,0,0,1,0.9,33.7,61518,High,0,47.7
Edtech,Mecca,2017,7,Pre-Seed,362,1,3,2,10,Pre-Seed,0,0,0,0.58,26.1,8884,Medium,1,61.2
Logistics Tech,NEOM,2014,10,Series A,6742,3,9,3,30,Series A,0,0,0,0.63,50.0,392182,Medium,1,57.0
Fintech,Riyadh,2019,5,Series A,10286,2,7,4,17,Series A,0,0,1,0.9,46.8,312065,High,1,48.4
Real Estate Tech,Dammam,2012,12,Seed,2350,3,4,2,34,Seed,0,1,0,0.82,31.4,33613,Medium,1,52.6
Fintech,Jeddah,2018,6,Pre-Seed,410,2,3,3,21,Pre-Seed,1,0,1,0.9,26.8,7282,High,0,43.3
Real Estate Tech,Riyadh,2011,13,Pre-Seed,113,2,2,2,18,Pre-Seed,0,1,1,0.82,34.2,6971,Medium,0,61.3
E-commerce,Riyadh,2012,12,Seed,961,1,5,3,1,Seed,0,0,0,0.72,28.7,28432,Medium,1,58.9
Edtech,Jeddah,2021,3,Pre-Seed,217,1,1,3,9,Pre-Seed,0,0,0,0.58,11.6,1129,High,0,39.3
Edtech,Jeddah,2013,11,Seed,717,3,2,2,18,Seed,0,0,0,0.58,29.8,66405,High,0,44.9
Healthtech,Riyadh,2019,5,Series A,4741,3,7,2,19,Series A,0,0,1,0.78,49.1,432811,High,0,41.7
Real Estate Tech,Jeddah,2010,14,Seed,2625,1,6,1,5,Seed,0,0,0,0.82,26.7,62108,Medium,0,57.3
Agritech,Jeddah,2020,4,Pre-Seed,479,1,3,2,10,Pre-Seed,0,0,0,0.52,16.8,1100,High,1,44.9
E-commerce,Jeddah,2013,11,Seed,1696,3,2,4,23,Seed,0,0,0,0.72,36.1,44805,Medium,0,48.6
HR Tech,Riyadh,2013,11,Series A,6098,3,5,3,4,Series A,0,0,0,0.65,43.8,125825,High,0,45.7
Healthtech,NEOM,2018,6,Series B,20248,4,8,2,19,Series B,0,0,1,0.78,75.5,2166028,Low,0,76.4
Fintech,Riyadh,2017,7,Series A,7470,2,5,3,30,Series A,1,0,0,0.9,59.7,421702,Medium,1,52.4
Edtech,Riyadh,2011,13,Series A,11846,3,6,3,21,Series A,0,0,0,0.58,40.7,274730,High,1,40.2
Real Estate Tech,Riyadh,2022,2,Seed,1404,2,2,2,21,Seed,0,0,0,0.82,15.4,5347,Medium,1,55.4
Edtech,Riyadh,2016,8,Seed,1244,2,2,1,1,Seed,0,0,0,0.58,28.3,44396,Medium,0,52.6
Fintech,NEOM,2015,9,Series B,38729,4,13,1,9,Series B,1,0,0,0.9,78.2,1629007,Medium,1,60.0
Fintech,Riyadh,2016,8,Pre-Seed,440,2,3,3,38,Pre-Seed,0,0,0,0.9,18.0,7350,Medium,1,54.5
Agritech,Jeddah,2020,4,Growth,236847,6,33,3,12,Growth,0,0,1,0.52,95.1,26516617,Low,1,65.6
Real Estate Tech,Riyadh,2013,11,Series A,12754,3,5,2,30,Series A,0,1,0,0.82,57.7,235293,High,0,48.4
Agritech,Riyadh,2014,10,Series A,8069,3,8,2,11,Series A,0,0,0,0.52,47.4,492998,Medium,1,61.0
Real Estate Tech,Abha,2015,9,Pre-Seed,461,1,3,3,15,Pre-Seed,0,1,0,0.82,26.7,2716,Medium,0,60.4
Healthtech,Dammam,2018,6,Series A,13869,2,9,4,23,Series A,0,0,0,0.78,47.0,489406,High,0,44.3
Edtech,Riyadh,2011,13,Seed,1794,2,3,3,19,Seed,0,0,1,0.58,29.4,49711,High,1,52.6
E-commerce,Jeddah,2020,4,Pre-Seed,428,2,3,2,21,Pre-Seed,0,0,1,0.72,13.4,8368,Medium,0,52.0
Real Estate Tech,Riyadh,2018,6,Seed,1819,2,5,2,9,Seed,0,1,0,0.82,32.8,70154,Medium,1,57.3
Real Estate Tech,Riyadh,2019,5,Series C,66506,6,18,2,6,Series C,0,1,0,0.82,82.6,9911936,Low,1,78.0
Fintech,Dammam,2010,14,Seed,659,1,5,2,9,Seed,1,0,0,0.9,37.1,62473,Medium,1,51.5
Real Estate Tech,Dammam,2013,11,Seed,807,3,4,3,12,Seed,0,0,0,0.82,32.1,45649,Medium,0,55.5
Edtech,Riyadh,2021,3,Pre-Seed,498,1,2,2,15,Pre-Seed,0,0,1,0.58,17.2,2705,High,1,45.9
Traveltech,Khobar,2014,10,Series A,12305,4,9,3,28,Series A,0,0,1,0.48,48.7,103382,Medium,1,52.8
Agritech,Jeddah,2018,6,Series A,4897,4,10,2,18,Series A,0,0,0,0.52,52.3,116308,Medium,1,52.5
Logistics Tech,Riyadh,2015,9,Series A,8977,4,4,3,22,Series A,0,0,1,0.63,52.3,267500,High,0,46.1
Logistics Tech,Jeddah,2013,11,Seed,846,1,5,2,19,Seed,0,0,1,0.63,35.9,37707,Medium,1,55.0
Edtech,Jeddah,2011,13,Seed,649,1,3,2,6,Seed,0,0,1,0.58,36.2,47050,High,0,44.0
Real Estate Tech,Jeddah,2014,10,Series A,4040,3,4,2,18,Series A,0,1,0,0.82,52.9,386967,Medium,1,59.3
Traveltech,Riyadh,2017,7,Pre-Seed,466,1,2,1,19,Pre-Seed,0,0,0,0.48,19.7,3761,Medium,1,61.7
Edtech,Jeddah,2017,7,Series C,114323,4,17,4,25,Series C,0,0,0,0.58,81.7,6166770,Medium,1,60.7
Healthtech,Riyadh,2015,9,Series A,6905,2,7,2,7,Series A,0,0,0,0.78,50.1,427731,High,0,41.3
Fintech,Dammam,2020,4,Seed,1281,1,6,2,1,Seed,1,0,0,0.9,20.7,38355,Medium,1,53.1
E-commerce,Jeddah,2010,14,Seed,618,2,5,3,19,Seed,0,0,1,0.72,39.9,61599,Medium,1,49.6
E-commerce,Riyadh,2017,7,Series B,15704,4,11,3,21,Series B,0,0,0,0.72,65.6,2713974,Medium,1,62.6
Agritech,Dammam,2013,11,Pre-Seed,416,2,3,2,16,Pre-Seed,0,0,0,0.52,22.2,7138,High,0,41.4
Healthtech,Khobar,2011,13,Seed,788,1,2,4,18,Seed,0,0,1,0.78,42.4,54233,High,0,42.2
E-commerce,Mecca,2010,14,Series A,5956,4,7,1,26,Series A,0,0,0,0.72,57.1,398967,Medium,0,62.7
HR Tech,Riyadh,2016,8,Seed,1875,3,2,1,13,Seed,0,0,0,0.65,29.1,75391,Medium,1,56.0
Fintech,Riyadh,2011,13,Series B,21441,3,16,2,15,Series B,1,0,1,0.9,77.9,559358,Low,1,68.6
E-commerce,Jeddah,2022,2,Pre-Seed,293,2,3,2,18,Pre-Seed,0,0,1,0.72,25.1,2849,High,1,52.1
Fintech,Riyadh,2013,11,Series A,5025,4,7,2,5,Series A,0,0,1,0.9,56.3,377384,Medium,0,55.7
Edtech,Khobar,2013,11,Pre-Seed,491,2,2,2,16,Pre-Seed,0,0,1,0.58,23.1,4731,High,0,40.3
Traveltech,Riyadh,2022,2,Pre-Seed,380,2,3,2,17,Pre-Seed,0,0,1,0.48,14.3,3621,Medium,1,61.9
Real Estate Tech,Riyadh,2019,5,Series C,71381,6,17,3,34,Series C,0,1,1,0.82,83.2,4475746,Low,0,76.1
Agritech,Riyadh,2010,14,Series A,9570,2,8,2,15,Series A,0,0,0,0.52,46.0,187004,Medium,1,55.4
Real Estate Tech,Riyadh,2011,13,Seed,750,2,4,4,20,Seed,0,0,1,0.82,41.9,47643,Medium,0,54.0
Traveltech,Dammam,2010,14,Pre-Seed,330,1,1,3,27,Pre-Seed,0,0,1,0.48,21.5,4318,Medium,0,48.5
Logistics Tech,Riyadh,2015,9,Series A,8635,3,4,2,9,Series A,0,0,0,0.63,49.0,223784,Medium,0,47.6
Logistics Tech,Riyadh,2022,2,Seed,1186,3,2,2,31,Seed,0,0,0,0.63,23.6,15103,Medium,0,49.2
Fintech,Riyadh,2012,12,Growth,232918,5,35,2,35,Growth,0,0,0,0.9,100.0,28094110,Medium,1,63.0
HR Tech,Jeddah,2010,14,Growth,390417,5,21,3,17,Growth,0,0,1,0.65,100.0,78662533,Medium,1,56.6
Edtech,Riyadh,2021,3,Series A,3244,2,9,1,12,Series A,0,0,0,0.58,46.0,68029,High,0,37.9
Real Estate Tech,Jeddah,2017,7,Seed,2915,2,3,2,34,Seed,0,0,1,0.82,33.2,72552,Medium,1,58.9
Logistics Tech,Jeddah,2021,3,Seed,2668,1,2,4,25,Seed,0,0,1,0.63,22.4,77393,Medium,0,57.2
Real Estate Tech,Jeddah,2013,11,Series A,10939,2,7,2,18,Series A,0,1,1,0.82,52.5,117579,Medium,1,60.9
Agritech,Khobar,2019,5,Pre-Seed,169,1,2,2,32,Pre-Seed,0,0,0,0.52,11.5,8670,High,0,33.8
Fintech,Khobar,2016,8,Seed,933,1,4,2,31,Seed,1,0,1,0.9,37.8,71740,High,1,33.9
Edtech,Mecca,2019,5,Pre-Seed,282,1,2,3,14,Pre-Seed,0,0,0,0.58,14.8,7050,Medium,1,60.3
Healthtech,Riyadh,2011,13,Pre-Seed,346,1,3,3,20,Pre-Seed,0,0,0,0.78,20.3,8565,High,0,48.6
Fintech,Riyadh,2015,9,Pre-Seed,217,2,2,2,23,Pre-Seed,1,0,0,0.9,25.2,5480,High,1,56.5
Real Estate Tech,Riyadh,2015,9,Seed,531,3,2,2,18,Seed,0,1,0,0.82,30.2,68987,Medium,1,59.1
Fintech,NEOM,2016,8,Series B,34409,5,11,3,4,Series B,1,0,0,0.9,71.4,1404556,Medium,1,59.9
E-commerce,Medina,2021,3,Seed,1673,3,2,3,8,Seed,0,0,0,0.72,24.4,26925,Medium,1,67.2
Real Estate Tech,NEOM,2010,14,Seed,1797,3,5,3,4,Seed,0,1,1,0.82,37.4,74800,High,1,53.1
Healthtech,Riyadh,2021,3,Pre-Seed,451,2,2,2,22,Pre-Seed,0,0,0,0.78,22.0,1073,Medium,0,51.3
Real Estate Tech,Mecca,2010,14,Series A,6457,4,5,4,6,Series A,0,1,1,0.82,52.1,359353,Medium,1,60.1
Real Estate Tech,Riyadh,2011,13,Seed,2404,1,4,2,19,Seed,0,0,0,0.82,37.9,12873,Medium,0,55.4
Edtech,Riyadh,2020,4,Series A,7198,3,6,2,36,Series A,0,0,0,0.58,49.0,181112,High,0,39.9
Fintech,Riyadh,2011,13,Growth,162098,7,43,3,32,Growth,0,0,0,0.9,100.0,71021553,Medium,1,62.7
Traveltech,Riyadh,2014,10,Pre-Seed,210,1,1,2,1,Pre-Seed,0,0,0,0.48,18.7,1655,Medium,1,61.1
Agritech,Jeddah,2010,14,Pre-Seed,392,2,2,3,5,Pre-Seed,0,0,0,0.52,26.9,4634,High,0,44.0
Edtech,Riyadh,2020,4,Seed,2956,3,5,1,10,Seed,0,0,0,0.58,23.9,15938,Medium,1,56.6
Healthtech,Riyadh,2011,13,Growth,272203,7,35,3,6,Growth,0,0,0,0.78,100.0,14375872,Low,1,67.0
Traveltech,Jeddah,2015,9,Series B,32775,4,17,2,1,Series B,0,0,0,0.48,68.2,644094,Low,1,77.9
Fintech,NEOM,2012,12,Series C,87694,4,21,3,17,Series C,0,0,0,0.9,84.4,3835938,Medium,1,62.5
Fintech,Jeddah,2013,11,Seed,1118,1,5,1,25,Seed,1,0,0,0.9,36.8,19614,High,0,33.9
Real Estate Tech,Riyadh,2010,14,Growth,275477,6,31,2,27,Growth,0,0,1,0.82,99.2,51922581,Medium,1,64.2
Logistics Tech,Dammam,2014,10,Pre-Seed,390,2,2,3,13,Pre-Seed,0,0,0,0.63,15.7,9754,High,1,55.4
Fintech,Khobar,2013,11,Pre-Seed,280,2,2,2,15,Pre-Seed,0,0,0,0.9,25.5,6168,High,0,31.1
Healthtech,Riyadh,2017,7,Series B,18166,3,13,2,21,Series B,0,0,0,0.78,77.8,442849,Low,1,70.5
Cybersecurity,Jeddah,2012,12,Series C,107604,4,29,2,16,Series C,0,0,1,0.88,90.5,5262645,Low,1,72.2
Agritech,Riyadh,2019,5,Pre-Seed,206,1,3,3,26,Pre-Seed,0,0,0,0.52,17.7,8880,Medium,0,53.6
E-commerce,Riyadh,2010,14,Pre-Seed,343,1,3,2,22,Pre-Seed,0,0,0,0.72,22.6,8162,Medium,1,58.7
Fintech,Jeddah,2022,2,Pre-Seed,434,1,2,2,14,Pre-Seed,0,0,1,0.9,16.8,3412,High,0,44.7
Agritech,NEOM,2019,5,Pre-Seed,122,2,3,2,1,Pre-Seed,0,0,0,0.52,16.5,2150,High,0,40.3
Healthtech,Riyadh,2014,10,Pre-Seed,460,1,1,4,32,Pre-Seed,0,0,0,0.78,22.6,9090,Medium,0,48.0
Fintech,Dammam,2010,14,Growth,178943,8,40,2,11,Growth,1,0,0,0.9,100.0,19417368,Low,1,72.8
Fintech,NEOM,2020,4,Series A,14404,2,7,1,21,Series A,0,0,1,0.9,45.3,271507,Medium,1,48.0
Traveltech,Khobar,2014,10,Series B,47210,4,10,3,1,Series B,0,0,0,0.48,80.0,504248,Medium,1,64.6
Edtech,Riyadh,2018,6,Series B,16408,5,13,3,17,Series B,0,0,0,0.58,66.0,1255746,Medium,1,55.1
Logistics Tech,Khobar,2014,10,Seed,1901,1,4,1,19,Seed,0,0,0,0.63,31.1,11658,High,0,48.5
Agritech,Riyadh,2011,13,Series B,30516,3,8,4,19,Series B,0,0,1,0.52,72.4,2626300,Medium,0,66.4
Healthtech,Jeddah,2022,2,Series A,6407,4,4,2,48,Series A,0,0,0,0.78,42.5,448323,Medium,0,50.0
E-commerce,Riyadh,2011,13,Seed,2105,2,6,2,11,Seed,0,0,0,0.72,35.4,53657,Medium,0,59.9
E-commerce,Riyadh,2019,5,Series A,11128,2,8,2,26,Series A,0,0,0,0.72,49.2,378557,Medium,1,61.2
Real Estate Tech,Jeddah,2018,6,Seed,632,1,6,3,23,Seed,0,1,0,0.82,33.5,11836,Medium,0,59.0
E-commerce,Riyadh,2021,3,Series B,42392,4,9,2,11,Series B,0,0,1,0.72,64.3,2218958,Low,1,65.3
Logistics Tech,Riyadh,2014,10,Growth,357349,8,21,2,26,Growth,0,0,0,0.63,86.0,11710519,Medium,1,56.1
Healthtech,Riyadh,2020,4,Seed,2046,3,4,1,16,Seed,0,0,0,0.78,18.5,66196,High,1,46.7
Traveltech,Jeddah,2017,7,Series A,10308,3,9,3,26,Series A,0,0,0,0.48,48.3,303926,Medium,1,59.2
E-commerce,Riyadh,2019,5,Pre-Seed,234,1,1,2,37,Pre-Seed,0,0,1,0.72,18.7,4014,Medium,1,59.5
Healthtech,Dammam,2013,11,Series B,43055,5,8,2,19,Series B,0,0,0,0.78,67.8,890825,Low,0,63.0
Healthtech,Riyadh,2011,13,Seed,1270,3,3,2,15,Seed,0,0,0,0.78,30.1,38387,High,0,45.4
Healthtech,Riyadh,2013,11,Pre-Seed,193,1,3,3,28,Pre-Seed,0,0,0,0.78,20.3,7901,High,1,49.4
Edtech,Riyadh,2021,3,Seed,2408,2,5,3,31,Seed,0,0,0,0.58,24.5,14604,Medium,0,55.3
Real Estate Tech,Riyadh,2020,4,Series A,4265,3,8,2,9,Series A,0,1,0,0.82,47.9,120997,Medium,0,51.5
E-commerce,Riyadh,2013,11,Pre-Seed,336,2,1,3,13,Pre-Seed,0,0,0,0.72,12.7,260,Medium,1,58.8
Fintech,Riyadh,2020,4,Series C,99317,4,24,2,24,Series C,1,0,0,0.9,80.6,6812537,Medium,0,69.1
E-commerce,Mecca,2018,6,Pre-Seed,424,2,3,3,16,Pre-Seed,0,0,0,0.72,18.9,2644,Medium,1,50.9
E-commerce,Jeddah,2019,5,Series C,98788,6,21,1,8,Series C,0,0,1,0.72,78.9,14013977,Medium,1,60.0
Edtech,Riyadh,2020,4,Series A,14180,2,9,2,23,Series A,0,0,0,0.58,48.5,88272,High,0,40.0
HR Tech,Riyadh,2015,9,Seed,1120,1,2,4,24,Seed,0,0,1,0.65,38.2,25208,High,0,52.1
Healthtech,NEOM,2019,5,Seed,731,1,3,4,14,Seed,0,0,0,0.78,23.3,17709,Medium,0,44.5
Edtech,Riyadh,2015,9,Series A,9726,4,9,2,18,Series A,0,0,0,0.58,48.0,417731,High,0,41.6
E-commerce,Riyadh,2014,10,Series A,5781,3,9,2,12,Series A,0,0,0,0.72,54.5,384558,Medium,1,65.8
Healthtech,Dammam,2015,9,Series A,10754,4,4,1,7,Series A,0,0,0,0.78,54.8,383548,High,0,46.3
Fintech,Jeddah,2010,14,Seed,1703,2,5,3,13,Seed,1,0,0,0.9,36.1,45790,High,0,35.9
Real Estate Tech,Jeddah,2022,2,Seed,1878,1,2,2,18,Seed,0,1,0,0.82,21.6,78556,Medium,1,58.6
Real Estate Tech,Riyadh,2014,10,Growth,209236,5,31,2,3,Growth,0,1,1,0.82,100.0,30555358,Low,1,70.1
E-commerce,Riyadh,2021,3,Pre-Seed,268,1,2,1,13,Pre-Seed,0,0,0,0.72,15.1,9857,Medium,1,60.6
Fintech,Jeddah,2015,9,Seed,903,2,4,4,18,Seed,0,0,0,0.9,31.3,57381,High,0,38.4
Fintech,Riyadh,2017,7,Seed,2669,1,3,2,29,Seed,1,0,1,0.9,39.8,73760,Medium,1,50.4
Real Estate Tech,Jeddah,2013,11,Series A,13967,4,4,2,14,Series A,0,0,0,0.82,46.7,335040,Medium,1,57.3
HR Tech,Jeddah,2014,10,Series A,7481,4,6,2,5,Series A,0,0,1,0.65,55.2,285090,Medium,0,50.5
Real Estate Tech,Riyadh,2013,11,Seed,2264,2,4,2,15,Seed,0,1,0,0.82,34.2,44101,Medium,1,56.3
E-commerce,Mecca,2016,8,Pre-Seed,147,2,1,2,12,Pre-Seed,0,0,0,0.72,19.1,2813,High,0,50.4
Fintech,Dammam,2019,5,Pre-Seed,266,2,1,4,23,Pre-Seed,1,0,1,0.9,25.6,9472,Medium,0,58.2
Healthtech,Jeddah,2015,9,Seed,889,1,6,3,14,Seed,0,0,0,0.78,33.6,24931,High,0,48.2
Real Estate Tech,Riyadh,2013,11,Seed,2047,3,5,2,1,Seed,0,1,0,0.82,37.7,79942,Medium,0,59.8
Real Estate Tech,Riyadh,2015,9,Growth,405726,8,35,3,54,Growth,0,1,1,0.82,100.0,14687034,Medium,1,66.0
E-commerce,Riyadh,2022,2,Seed,1290,2,4,2,19,Seed,0,0,1,0.72,28.2,69452,Medium,1,63.1
Fintech,Riyadh,2013,11,Seed,1995,3,3,2,18,Seed,0,0,1,0.9,35.8,23870,Medium,0,51.0
Fintech,Medina,2021,3,Series C,101904,4,24,4,2,Series C,0,0,0,0.9,75.7,3232477,Medium,1,62.2
Real Estate Tech,Riyadh,2017,7,Seed,2048,1,4,2,3,Seed,0,1,1,0.82,33.6,78686,Medium,0,58.4
Fintech,Riyadh,2020,4,Series A,9711,3,8,2,17,Series A,1,0,0,0.9,52.4,428153,Medium,0,53.7
Fintech,Riyadh,2012,12,Pre-Seed,408,1,2,4,21,Pre-Seed,0,0,1,0.9,25.6,5082,Medium,0,51.8
Real Estate Tech,Jeddah,2017,7,Seed,1545,3,4,1,25,Seed,0,0,0,0.82,25.5,77500,Medium,1,58.4
Logistics Tech,Riyadh,2022,2,Series C,127765,6,29,3,20,Series C,0,0,0,0.63,73.1,2000233,Medium,0,52.9
Healthtech,Riyadh,2011,13,Series A,12672,2,7,4,6,Series A,0,0,1,0.78,49.3,479120,High,0,40.4
E-commerce,Riyadh,2015,9,Seed,2870,1,4,2,1,Seed,0,0,1,0.72,27.7,31674,Medium,1,62.4
Real Estate Tech,NEOM,2017,7,Series A,7066,2,4,1,16,Series A,0,0,1,0.82,49.0,215081,Medium,1,51.7
Traveltech,Riyadh,2010,14,Series C,143243,6,27,2,12,Series C,0,0,0,0.48,85.2,4437493,Low,1,71.1
E-commerce,Khobar,2015,9,Seed,2295,1,2,1,5,Seed,0,0,0,0.72,28.6,13005,Medium,0,59.5
Fintech,Dammam,2018,6,Seed,1964,2,2,2,26,Seed,1,0,1,0.9,30.5,29765,Medium,1,51.6
Healthtech,Riyadh,2022,2,Series C,138122,5,17,3,2,Series C,0,0,0,0.78,70.1,3210404,High,0,54.5
Fintech,Dammam,2019,5,Pre-Seed,315,1,2,2,24,Pre-Seed,0,0,1,0.9,17.9,6588,Medium,1,56.5
Real Estate Tech,Riyadh,2019,5,Series A,14838,2,6,2,3,Series A,0,1,1,0.82,54.1,67080,High,1,49.6
E-commerce,Mecca,2011,13,Series A,10826,2,9,2,19,Series A,0,0,1,0.72,58.5,181244,Medium,0,65.5
Agritech,Jeddah,2020,4,Series A,6966,2,5,2,27,Series A,0,0,1,0.52,52.1,159899,Medium,0,51.0
E-commerce,Riyadh,2022,2,Seed,1251,2,2,3,14,Seed,0,0,1,0.72,28.6,10373,Low,1,61.7
Edtech,Riyadh,2010,14,Seed,1817,2,4,2,34,Seed,0,0,0,0.58,34.2,13056,Medium,0,53.4
Cybersecurity,Riyadh,2011,13,Series A,3182,3,5,3,37,Series A,0,0,1,0.88,59.4,324817,Medium,1,52.8
Fintech,Medina,2014,10,Pre-Seed,468,2,3,2,20,Pre-Seed,1,0,0,0.9,29.1,2852,High,1,44.9
Real Estate Tech,Riyadh,2015,9,Seed,1461,2,2,2,23,Seed,0,1,0,0.82,31.0,58161,Medium,0,56.3
E-commerce,Jeddah,2010,14,Pre-Seed,241,1,2,2,28,Pre-Seed,0,0,0,0.72,24.6,4843,High,0,49.8
E-commerce,Riyadh,2016,8,Pre-Seed,204,1,1,2,23,Pre-Seed,0,0,1,0.72,17.3,205,Medium,0,63.3
E-commerce,Mecca,2020,4,Growth,278261,5,47,2,22,Growth,0,0,1,0.72,95.9,25327606,High,1,50.5
Traveltech,Riyadh,2013,11,Seed,1490,1,2,2,12,Seed,0,0,0,0.48,35.6,10031,High,0,53.1
Edtech,Jeddah,2018,6,Growth,173037,6,22,4,1,Growth,0,0,1,0.58,95.5,75900656,High,1,43.7
Healthtech,Riyadh,2015,9,Pre-Seed,119,1,2,2,4,Pre-Seed,0,0,1,0.78,16.7,778,High,1,52.6
Real Estate Tech,Jeddah,2018,6,Series A,7848,4,8,4,41,Series A,0,0,0,0.82,45.6,257801,High,0,54.5
